[2025-12-22 18:03:45] [ERRO] Erro na manutenção de IPTU | IP: ::1 | {"action":"pesquisar","error":"SQLSTATE[HY093]: Invalid parameter number: :empreendimento_id","error_code":"HY093","error_info":["HY093",null,":empreendimento_id"],"file":"C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php","line":183,"trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php(183): PDOStatement->bindParam(':empreendimento...', NULL, 1)\n#1 {main}","request_uri":"\/SISIPTU\/php\/manutencao_iptu_api.php?action=pesquisar&filtro_titulo=todos&ordem=pagamento","request_method":"GET","post_data":null,"get_data":{"action":"pesquisar","filtro_titulo":"todos","ordem":"pagamento"},"usuario":"admin","usuario_id":1}
[2025-12-22 18:03:50] [ERRO] Erro na manutenção de IPTU | IP: ::1 | {"action":"pesquisar","error":"SQLSTATE[HY093]: Invalid parameter number: :empreendimento_id","error_code":"HY093","error_info":["HY093",null,":empreendimento_id"],"file":"C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php","line":183,"trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php(183): PDOStatement->bindParam(':empreendimento...', NULL, 1)\n#1 {main}","request_uri":"\/SISIPTU\/php\/manutencao_iptu_api.php?action=pesquisar&filtro_titulo=todos&ordem=titulo","request_method":"GET","post_data":null,"get_data":{"action":"pesquisar","filtro_titulo":"todos","ordem":"titulo"},"usuario":"admin","usuario_id":1}
[2025-12-22 18:03:57] [ERRO] Erro na manutenção de IPTU | IP: ::1 | {"action":"pesquisar","error":"SQLSTATE[HY093]: Invalid parameter number: :modulo_id","error_code":"HY093","error_info":["HY093",null,":modulo_id"],"file":"C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php","line":184,"trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php(184): PDOStatement->bindParam(':modulo_id', NULL, 1)\n#1 {main}","request_uri":"\/SISIPTU\/php\/manutencao_iptu_api.php?action=pesquisar&empreendimento_id=2&filtro_titulo=todos&ordem=titulo","request_method":"GET","post_data":null,"get_data":{"action":"pesquisar","empreendimento_id":"2","filtro_titulo":"todos","ordem":"titulo"},"usuario":"admin","usuario_id":1}
[2025-12-22 18:03:57] [ERRO] Erro na manutenção de IPTU | IP: ::1 | {"action":"pesquisar","error":"SQLSTATE[HY093]: Invalid parameter number: :modulo_id","error_code":"HY093","error_info":["HY093",null,":modulo_id"],"file":"C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php","line":184,"trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php(184): PDOStatement->bindParam(':modulo_id', NULL, 1)\n#1 {main}","request_uri":"\/SISIPTU\/php\/manutencao_iptu_api.php?action=pesquisar&empreendimento_id=2&filtro_titulo=todos&ordem=titulo","request_method":"GET","post_data":null,"get_data":{"action":"pesquisar","empreendimento_id":"2","filtro_titulo":"todos","ordem":"titulo"},"usuario":"admin","usuario_id":1}
[2025-12-22 18:03:58] [ERRO] Erro na manutenção de IPTU | IP: ::1 | {"action":"pesquisar","error":"SQLSTATE[HY093]: Invalid parameter number: :contrato","error_code":"HY093","error_info":["HY093",null,":contrato"],"file":"C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php","line":185,"trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php(185): PDOStatement->bindParam(':contrato', NULL, 2)\n#1 {main}","request_uri":"\/SISIPTU\/php\/manutencao_iptu_api.php?action=pesquisar&empreendimento_id=2&modulo_id=1&filtro_titulo=todos&ordem=titulo","request_method":"GET","post_data":null,"get_data":{"action":"pesquisar","empreendimento_id":"2","modulo_id":"1","filtro_titulo":"todos","ordem":"titulo"},"usuario":"admin","usuario_id":1}
[2025-12-22 18:03:58] [ERRO] Erro na manutenção de IPTU | IP: ::1 | {"action":"pesquisar","error":"SQLSTATE[HY093]: Invalid parameter number: :contrato","error_code":"HY093","error_info":["HY093",null,":contrato"],"file":"C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php","line":185,"trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php(185): PDOStatement->bindParam(':contrato', NULL, 2)\n#1 {main}","request_uri":"\/SISIPTU\/php\/manutencao_iptu_api.php?action=pesquisar&empreendimento_id=2&modulo_id=1&filtro_titulo=todos&ordem=titulo","request_method":"GET","post_data":null,"get_data":{"action":"pesquisar","empreendimento_id":"2","modulo_id":"1","filtro_titulo":"todos","ordem":"titulo"},"usuario":"admin","usuario_id":1}
[2025-12-22 18:53:53] [ERRO] Erro na manutenção de IPTU | IP: ::1 | {"action":"pesquisar","error":"SQLSTATE[HY093]: Invalid parameter number: :empreendimento_id","error_code":"HY093","error_info":["HY093",null,":empreendimento_id"],"file":"C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php","line":194,"trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php(194): PDOStatement->bindParam(':empreendimento...', 2, 1)\n#1 {main}","request_uri":"\/SISIPTU\/php\/manutencao_iptu_api.php?action=pesquisar&empreendimento_id=2&modulo_id=1&contrato=123&filtro_titulo=todos&ordem=vencimento","request_method":"GET","post_data":null,"get_data":{"action":"pesquisar","empreendimento_id":"2","modulo_id":"1","contrato":"123","filtro_titulo":"todos","ordem":"vencimento"},"usuario":"admin","usuario_id":1}
[2025-12-22 18:54:10] [ERRO] Erro na manutenção de IPTU | IP: ::1 | {"action":"pesquisar","error":"SQLSTATE[HY093]: Invalid parameter number: :empreendimento_id","error_code":"HY093","error_info":["HY093",null,":empreendimento_id"],"file":"C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php","line":194,"trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php(194): PDOStatement->bindParam(':empreendimento...', 2, 1)\n#1 {main}","request_uri":"\/SISIPTU\/php\/manutencao_iptu_api.php?action=pesquisar&empreendimento_id=2&modulo_id=1&contrato=123&filtro_titulo=todos&ordem=vencimento","request_method":"GET","post_data":null,"get_data":{"action":"pesquisar","empreendimento_id":"2","modulo_id":"1","contrato":"123","filtro_titulo":"todos","ordem":"vencimento"},"usuario":"admin","usuario_id":1}
[2025-12-22 18:54:15] [ERRO] Erro na manutenção de IPTU | IP: ::1 | {"action":"pesquisar","error":"SQLSTATE[HY093]: Invalid parameter number: :empreendimento_id","error_code":"HY093","error_info":["HY093",null,":empreendimento_id"],"file":"C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php","line":194,"trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php(194): PDOStatement->bindParam(':empreendimento...', 2, 1)\n#1 {main}","request_uri":"\/SISIPTU\/php\/manutencao_iptu_api.php?action=pesquisar&empreendimento_id=2&modulo_id=1&contrato=123&filtro_titulo=todos&ordem=vencimento&formato=pdf","request_method":"GET","post_data":null,"get_data":{"action":"pesquisar","empreendimento_id":"2","modulo_id":"1","contrato":"123","filtro_titulo":"todos","ordem":"vencimento","formato":"pdf"},"usuario":"admin","usuario_id":1}
[2025-12-22 18:55:02] [ERRO] Erro na manutenção de IPTU | IP: ::1 | {"action":"pesquisar","error":"SQLSTATE[HY093]: Invalid parameter number: :empreendimento_id","error_code":"HY093","error_info":["HY093",null,":empreendimento_id"],"file":"C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php","line":194,"trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php(194): PDOStatement->bindParam(':empreendimento...', 2, 1)\n#1 {main}","request_uri":"\/SISIPTU\/php\/manutencao_iptu_api.php?action=pesquisar&empreendimento_id=2&modulo_id=1&contrato=123&filtro_titulo=todos&ordem=vencimento","request_method":"GET","post_data":null,"get_data":{"action":"pesquisar","empreendimento_id":"2","modulo_id":"1","contrato":"123","filtro_titulo":"todos","ordem":"vencimento"},"usuario":"admin","usuario_id":1}
[2025-12-22 18:55:04] [ERRO] Erro na manutenção de IPTU | IP: ::1 | {"action":"pesquisar","error":"SQLSTATE[HY093]: Invalid parameter number: :empreendimento_id","error_code":"HY093","error_info":["HY093",null,":empreendimento_id"],"file":"C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php","line":194,"trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php(194): PDOStatement->bindParam(':empreendimento...', 2, 1)\n#1 {main}","request_uri":"\/SISIPTU\/php\/manutencao_iptu_api.php?action=pesquisar&empreendimento_id=2&modulo_id=1&contrato=123&filtro_titulo=todos&ordem=vencimento","request_method":"GET","post_data":null,"get_data":{"action":"pesquisar","empreendimento_id":"2","modulo_id":"1","contrato":"123","filtro_titulo":"todos","ordem":"vencimento"},"usuario":"admin","usuario_id":1}
